id;name;idActivity
63;Payment Run;661
160;Manual & Unplanned Payments;661
167;Invoice check;661
174;Other Processes;661
353;Project - Robotic;661
440;Mailbox;661
62;Payment Run;663
161;Manual & Unplanned Payments;663
168;Invoice check;663
175;Other Processes;663
354;Project - Robotic;663
441;Mailbox;663
10;Payment Run;665
162;Manual & Unplanned Payments;665
169;Invoice check;665
176;Other Processes;665
355;Project - Robotic;665
442;Mailbox;665
