name;idProject;idActivity;activity type;status;planning mode;automaticAssignment
Francia;14;;Task;recorded;as soon as possible;0
España;14;;Task;recorded;as soon as possible;0
Portugal;14;;Task;recorded;as soon as possible;0
Marruecos;14;;Task;recorded;as soon as possible;0
