id;name;status
521;Mailbox;closed
520;Riba;closed
519;SAP E01;closed
356;Project - Robotic;closed
177;Direct Debit;closed
85;Check process;closed
84;Navision FR;closed
83;Sap GP1;closed
82;Sap PER;closed
81;Sap PP2 IT;closed
80;Sap P02;closed
